Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"20.4.130.154",63,19223,36,14723,27,4500,"","","","","",""
"20.42.65.90",29,11253,16,7917,13,3336,"","","","","",""
"20.190.167.150",42,18731,26,12435,16,6296,"","","","","",""
"20.227.97.55",31,13399,18,10328,13,3071,"","","","","",""
"40.99.129.130",105,23369,54,11182,51,12187,"","","","","",""
"89.42.218.88",40,9109,21,6915,19,2194,"","","","","",""
"149.210.234.234",63,31366,38,29572,25,1794,"","","","","",""
"172.172.255.218",7,660,3,343,4,317,"","","","","",""
"192.168.0.47",6,390,1,60,5,330,"","","","","",""
"192.168.0.191",6,390,1,60,5,330,"","","","","",""
"192.168.1.112",6,390,1,60,5,330,"","","","","",""
"192.168.4.82",6,390,1,60,5,330,"","","","","",""
"192.168.86.47",6,390,1,60,5,330,"","","","","",""
"192.168.147.1",44,11996,44,11996,0,0,"","","","","",""
"192.168.147.2",40,4357,14,1888,26,2469,"","","","","",""
"192.168.147.134",460,134662,228,38717,232,95945,"","","","","",""
"192.168.147.254",2,700,1,342,1,358,"","","","","",""
"224.0.0.22",5,270,0,0,5,270,"","","","","",""
"224.0.0.251",22,1648,0,0,22,1648,"","","","","",""
"224.0.0.252",9,587,0,0,9,587,"","","","","",""
"239.255.255.250",16,10036,0,0,16,10036,"","","","","",""
