Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"4.195.183.33",8,456,4,240,4,216,"","","","","",""
"13.107.137.11",26,10211,15,8690,11,1521,"","","","","",""
"13.107.246.32",64,26607,37,19487,27,7120,"","","","","",""
"20.4.130.154",231,70466,132,53966,99,16500,"","","","","",""
"20.135.4.169",26,14479,17,11557,9,2922,"","","","","",""
"20.189.173.5",27,10493,15,7931,12,2562,"","","","","",""
"20.189.173.6",29,11233,16,7916,13,3317,"","","","","",""
"20.227.97.55",38,13845,21,10559,17,3286,"","","","","",""
"23.223.224.125",66,31430,39,27818,27,3612,"","","","","",""
"23.223.224.232",11,1120,5,557,6,563,"","","","","",""
"40.99.130.82",117,65096,63,42451,54,22645,"","","","","",""
"40.103.64.178",64,15682,33,8603,31,7079,"","","","","",""
"40.115.75.193",31,13398,18,10328,13,3070,"","","","","",""
"51.116.253.169",28,10545,15,7931,13,2614,"","","","","",""
"51.195.237.146",21,1583,12,1061,9,522,"","","","","",""
"52.98.141.114",47,13099,26,7792,21,5307,"","","","","",""
"52.104.102.39",25,13257,16,9245,9,4012,"","","","","",""
"52.123.128.14",21,8836,12,6138,9,2698,"","","","","",""
"52.182.143.214",38,18703,24,6214,14,12489,"","","","","",""
"52.191.219.104",25,6409,14,5111,11,1298,"","","","","",""
"57.150.129.65",86,86028,70,12885,16,73143,"","","","","",""
"72.154.7.96",28,5992,15,3963,13,2029,"","","","","",""
"72.154.7.109",53,12736,29,8760,24,3976,"","","","","",""
"89.42.218.88",80,13865,41,9967,39,3898,"","","","","",""
"101.33.26.188",28,3400,13,1702,15,1698,"","","","","",""
"104.208.16.88",33,12643,18,8077,15,4566,"","","","","",""
"123.253.149.90",22,9605,13,8550,9,1055,"","","","","",""
"135.125.224.84",46,4209,27,3063,19,1146,"","","","","",""
"135.233.95.80",39,20924,25,16293,14,4631,"","","","","",""
"142.250.66.206",50,29340,29,20987,21,8353,"","","","","",""
"142.250.70.163",51,28601,28,18412,23,10189,"","","","","",""
"142.250.70.227",16,1976,8,1130,8,846,"","","","","",""
"149.210.234.234",383,153887,225,140582,158,13305,"","","","","",""
"150.171.22.17",29,11270,18,8124,11,3146,"","","","","",""
"150.171.27.11",232,94981,140,50309,92,44672,"","","","","",""
"172.172.255.216",40,3893,21,2590,19,1303,"","","","","",""
"184.84.150.56",84,32189,46,19260,38,12929,"","","","","",""
"192.168.0.47",18,1170,3,180,15,990,"","","","","",""
"192.168.0.191",11,720,1,60,10,660,"","","","","",""
"192.168.1.112",6,390,1,60,5,330,"","","","","",""
"192.168.4.55",12,780,2,120,10,660,"","","","","",""
"192.168.4.82",12,780,2,120,10,660,"","","","","",""
"192.168.20.4",18,1140,8,480,10,660,"","","","","",""
"192.168.86.47",12,780,2,120,10,660,"","","","","",""
"192.168.147.1",175,42758,175,42758,0,0,"","","","","",""
"192.168.147.2",243,27796,93,13961,150,13835,"","","","","",""
"192.168.147.134",2595,918533,1181,314499,1414,604034,"","","","","",""
"192.168.147.254",4,1400,2,684,2,716,"","","","","",""
"224.0.0.22",10,540,0,0,10,540,"","","","","",""
"224.0.0.251",86,6140,0,0,86,6140,"","","","","",""
"224.0.0.252",46,2966,0,0,46,2966,"","","","","",""
"239.255.255.250",49,34202,0,0,49,34202,"","","","","",""
