Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"0.0.0.0",2,728,2,728,0,0,"","","","","",""
"4.255.252.37",54,20406,33,15097,21,5309,"","","","","",""
"18.65.244.47",589,755162,509,738736,80,16426,"","","","","",""
"18.65.244.55",271,265089,187,247703,84,17386,"","","","","",""
"18.67.110.62",551,394281,321,304371,230,89910,"","","","","",""
"20.42.65.85",27,10416,15,7857,12,2559,"","","","","",""
"20.189.173.25",69,27181,41,16352,28,10829,"","","","","",""
"20.190.122.23",32,13458,19,10388,13,3070,"","","","","",""
"20.190.142.167",41,17989,25,12980,16,5009,"","","","","",""
"20.247.184.142",202,93386,125,67967,77,25419,"","","","","",""
"23.60.149.178",68,28915,39,25195,29,3720,"","","","","",""
"35.83.229.244",28,9664,16,6057,12,3607,"","","","","",""
"35.167.191.89",131,47762,77,14660,54,33102,"","","","","",""
"35.241.39.12",375,125339,187,73114,188,52225,"","","","","",""
"40.99.133.50",55,13775,28,7793,27,5982,"","","","","",""
"44.224.210.6",40,11483,23,7034,17,4449,"","","","","",""
"44.232.193.212",40,13006,23,1698,17,11308,"","","","","",""
"44.235.209.72",59,20083,34,7000,25,13083,"","","","","",""
"44.238.107.191",53,14839,30,7690,23,7149,"","","","","",""
"44.239.209.234",123,39196,71,9933,52,29263,"","","","","",""
"52.26.247.176",54,14829,30,7690,24,7139,"","","","","",""
"52.32.167.79",28,9728,16,6057,12,3671,"","","","","",""
"52.43.74.156",86,27818,50,8288,36,19530,"","","","","",""
"52.113.194.132",32,11982,19,8229,13,3753,"","","","","",""
"52.123.128.14",42,37344,31,34646,11,2698,"","","","","",""
"52.123.253.23",49,41824,35,39717,14,2107,"","","","","",""
"54.212.37.212",11,1258,5,371,6,887,"","","","","",""
"54.213.96.7",28,9696,16,6057,12,3639,"","","","","",""
"72.145.35.98",50,10629,27,8009,23,2620,"","","","","",""
"72.154.7.109",27,5927,14,3870,13,2057,"","","","","",""
"104.18.65.57",23,6501,13,3265,10,3236,"","","","","",""
"108.158.32.13",225,209313,152,196192,73,13121,"","","","","",""
"123.253.149.88",18,1628,8,842,10,786,"","","","","",""
"172.172.255.216",40,10335,22,6401,18,3934,"","","","","",""
"172.172.255.217",1,60,1,60,0,0,"","","","","",""
"172.217.167.68",117,82499,70,67787,47,14712,"","","","","",""
"192.168.0.161",6,390,1,60,5,330,"","","","","",""
"192.168.4.27",6,390,1,60,5,330,"","","","","",""
"192.168.4.53",6,390,1,60,5,330,"","","","","",""
"192.168.20.8",9,570,4,240,5,330,"","","","","",""
"192.168.20.41",6,390,1,60,5,330,"","","","","",""
"192.168.86.47",6,390,1,60,5,330,"","","","","",""
"192.168.147.1",929,115407,929,115407,0,0,"","","","","",""
"192.168.147.2",293,31580,123,16924,170,14656,"","","","","",""
"192.168.147.134",4032,2442067,1586,444813,2446,1997254,"","","","","",""
"192.168.147.254",2,684,2,684,0,0,"","","","","",""
"192.168.147.255",8,880,0,0,8,880,"","","","","",""
"224.0.0.22",72,4202,0,0,72,4202,"","","","","",""
"224.0.0.251",524,42794,0,0,524,42794,"","","","","",""
"224.0.0.252",251,19707,0,0,251,19707,"","","","","",""
"239.255.255.250",133,52306,0,0,133,52306,"","","","","",""
"255.255.255.255",2,728,0,0,2,728,"","","","","",""
