Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
AggregatorHost.exe		5,072 K	14,056 K	5228		
AppActions.exe		16,848 K	32,148 K	4412		
AppActions.exe		16,772 K	32,332 K	11332		
ApplicationFrameHost.exe		9,528 K	41,276 K	5400		
ApplicationFrameHost.exe		9,376 K	41,112 K	11100	Application Frame Host	Microsoft Corporation
backgroundTaskHost.exe		17,204 K	42,160 K	2344		
backgroundTaskHost.exe	< 0.01	19,812 K	42,088 K	2620	Background Task Host	Microsoft Corporation
CrossDeviceResume.exe	< 0.01	8,144 K	43,872 K	5176		
CrossDeviceResume.exe		8,168 K	43,940 K	9756		Microsoft Corporation
CrossDeviceService.exe		22,984 K	78,076 K	3372		
csrss.exe		2,000 K	7,080 K	600		
csrss.exe	< 0.01	1,944 K	7,088 K	676		
csrss.exe	< 0.01	2,164 K	8,044 K	5052		
ctfmon.exe		27,080 K	36,376 K	7568		
ctfmon.exe	0.73	24,436 K	47,528 K	13844		
dllhost.exe		5,804 K	19,012 K	2520	COM Surrogate	Microsoft Corporation
dllhost.exe		2,568 K	14,552 K	2468	COM Surrogate	Microsoft Corporation
dwm.exe		74,600 K	83,732 K	528		
dwm.exe	< 0.01	96,764 K	130,656 K	3532		
explorer.exe	< 0.01	143,136 K	233,388 K	3784		
explorer.exe	< 0.01	190,800 K	306,236 K	9408	Windows Explorer	Microsoft Corporation
FileCoAuth.exe		9,696 K	27,380 K	13752	Microsoft OneDriveFile Co-Authoring Executable	Microsoft Corporation
fontdrvhost.exe		1,668 K	3,816 K	948		
fontdrvhost.exe		7,576 K	6,940 K	956		
fontdrvhost.exe		4,888 K	7,688 K	764		
Interrupts	3.66	0 K	0 K	n/a	Hardware Interrupts and DPCs	
LogonUI.exe		7,240 K	37,620 K	5616		
lsass.exe	< 0.01	9,960 K	30,120 K	824	Local Security Authority Process	Microsoft Corporation
Memory Compression		1,488 K	596,440 K	2100		
Microsoft.SharePoint.exe		33,040 K	45,612 K	13344		
MpDefenderCoreService.exe		9,372 K	23,636 K	3088	Antimalware Core Service	Microsoft Corporation
msedge.exe	< 0.01	51,116 K	119,264 K	6572		
msedge.exe		2,188 K	8,776 K	4292		
msedge.exe		13,288 K	38,748 K	3588		
msedge.exe		11,636 K	26,300 K	8644		
msedge.exe		8,276 K	18,216 K	2372		
msedge.exe		72,756 K	73,584 K	11096		
msedge.exe		15,584 K	25,724 K	7668		
msedge.exe		11,244 K	26,272 K	9892		
msedge.exe		11,160 K	26,136 K	9760		
msedge.exe		49,164 K	116,784 K	11392	Microsoft Edge	Microsoft Corporation
msedge.exe		2,176 K	9,144 K	12792	Microsoft Edge	Microsoft Corporation
msedge.exe		13,020 K	38,812 K	13244	Microsoft Edge	Microsoft Corporation
msedge.exe		11,672 K	26,500 K	7716	Microsoft Edge	Microsoft Corporation
msedge.exe		8,192 K	18,324 K	804	Microsoft Edge	Microsoft Corporation
msedge.exe		81,536 K	71,896 K	10752	Microsoft Edge	Microsoft Corporation
msedge.exe		15,024 K	25,600 K	14540	Microsoft Edge	Microsoft Corporation
msedgewebview2.exe		37,092 K	103,276 K	7128		
msedgewebview2.exe		2,196 K	8,592 K	6996		
msedgewebview2.exe		14,692 K	39,736 K	7260		
msedgewebview2.exe		11,568 K	36,116 K	7272		
msedgewebview2.exe		8,528 K	18,272 K	7372		
msedgewebview2.exe		73,804 K	76,676 K	7460		
msedgewebview2.exe		37,176 K	110,740 K	9248		
msedgewebview2.exe		2,156 K	9,128 K	9428		
msedgewebview2.exe		14,232 K	41,060 K	9968		
msedgewebview2.exe		12,516 K	39,656 K	7980		
msedgewebview2.exe		8,536 K	18,700 K	912		
msedgewebview2.exe		142,600 K	116,836 K	9564		
msedgewebview2.exe		8,216 K	20,136 K	2516		
msedgewebview2.exe		36,636 K	104,968 K	11432	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		2,200 K	9,016 K	11480	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		14,408 K	38,108 K	11848	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		11,980 K	37,060 K	11856	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		8,428 K	18,200 K	11884	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		73,504 K	70,316 K	11936	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		37,780 K	116,628 K	10968	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		2,172 K	9,340 K	6036	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		14,588 K	43,864 K	5824	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		12,128 K	39,132 K	4024	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		8,860 K	19,136 K	13308	Microsoft Edge WebView2	Microsoft Corporation
msedgewebview2.exe		95,924 K	133,272 K	12888	Microsoft Edge WebView2	Microsoft Corporation
MsMpEng.exe	< 0.01	281,920 K	165,776 K	3232	Antimalware Service Executable	Microsoft Corporation
NisSrv.exe	< 0.01	4,144 K	12,944 K	4168	Microsoft Network Realtime Inspection Service	Microsoft Corporation
OfficeClickToRun.exe	< 0.01	35,128 K	44,652 K	2236	Microsoft Office Click-to-Run (SxS)	Microsoft Corporation
OneDrive.exe		49,388 K	110,588 K	10676	Microsoft OneDrive	Microsoft Corporation
procexp.exe		4,764 K	14,076 K	1060	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
procexp64.exe	2.93	34,620 K	89,412 K	13796	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
Registry		9,104 K	55,176 K	104		
RuntimeBroker.exe		9,820 K	50,048 K	6424		
RuntimeBroker.exe		2,412 K	14,028 K	1592		
RuntimeBroker.exe		5,972 K	33,840 K	6196		
RuntimeBroker.exe		1,564 K	9,844 K	9468		
RuntimeBroker.exe		2,244 K	10,440 K	5700		
RuntimeBroker.exe		13,888 K	60,460 K	4520	Runtime Broker	Microsoft Corporation
RuntimeBroker.exe		4,320 K	32,296 K	5088		
