Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
AggregatorHost.exe		5,160 K	14,740 K	5228		
AppActions.exe		16,848 K	32,148 K	4412		
AppActions.exe		16,772 K	32,332 K	11332		
ApplicationFrameHost.exe		9,528 K	41,272 K	5400		
ApplicationFrameHost.exe		9,112 K	40,928 K	11100	Application Frame Host	Microsoft Corporation
backgroundTaskHost.exe	< 0.01	17,144 K	42,156 K	2344		
backgroundTaskHost.exe		19,748 K	42,052 K	2620	Background Task Host	Microsoft Corporation
CrossDeviceResume.exe	< 0.01	8,204 K	43,908 K	5176		
CrossDeviceResume.exe		8,172 K	43,948 K	9756		Microsoft Corporation
CrossDeviceService.exe		22,908 K	77,648 K	3372		
csrss.exe	< 0.01	1,996 K	7,092 K	600		
csrss.exe	< 0.01	1,944 K	7,088 K	676		
csrss.exe	< 0.01	2,164 K	8,040 K	5052		
ctfmon.exe		27,080 K	36,376 K	7568		
ctfmon.exe	< 0.01	24,440 K	47,524 K	13844		
dllhost.exe		5,804 K	19,008 K	2520	COM Surrogate	Microsoft Corporation
dllhost.exe		2,568 K	14,552 K	2468	COM Surrogate	Microsoft Corporation
dwm.exe		74,600 K	83,724 K	528		
dwm.exe	< 0.01	96,728 K	130,180 K	3532		
explorer.exe	< 0.01	143,212 K	232,872 K	3784		
explorer.exe	0.73	190,520 K	306,212 K	9408	Windows Explorer	Microsoft Corporation
FileCoAuth.exe		9,696 K	27,380 K	13752	Microsoft OneDriveFile Co-Authoring Executable	Microsoft Corporation
fontdrvhost.exe		1,668 K	3,888 K	948		
fontdrvhost.exe		7,576 K	6,940 K	956		
fontdrvhost.exe		4,888 K	7,688 K	764		
Interrupts	6.54	0 K	0 K	n/a	Hardware Interrupts and DPCs	
LogonUI.exe		7,240 K	37,620 K	5616		
lsass.exe	< 0.01	10,032 K	30,744 K	824	Local Security Authority Process	Microsoft Corporation
Memory Compression		1,488 K	593,892 K	2100		
Microsoft.SharePoint.exe		33,044 K	45,604 K	13344		
MpDefenderCoreService.exe		9,872 K	23,748 K	3088	Antimalware Core Service	Microsoft Corporation
msedge.exe	< 0.01	52,236 K	121,584 K	6572		
msedge.exe		2,188 K	8,776 K	4292		
msedge.exe		13,408 K	39,148 K	3588		
msedge.exe		11,628 K	26,292 K	8644		
msedge.exe		8,264 K	18,204 K	2372		
msedge.exe		72,752 K	73,580 K	11096		
msedge.exe		15,584 K	25,724 K	7668		
msedge.exe		11,252 K	26,280 K	9892		
msedge.exe		11,164 K	26,140 K	9760		
msedge.exe		49,248 K	114,072 K	11392	Microsoft Edge	Microsoft Corporation
msedge.exe		2,176 K	9,144 K	12792	Microsoft Edge	Microsoft Corporation
msedge.exe		13,024 K	38,636 K	13244	Microsoft Edge	Microsoft Corporation
msedge.exe		11,668 K	26,456 K	7716	Microsoft Edge	Microsoft Corporation
msedge.exe		8,192 K	18,320 K	804	Microsoft Edge	Microsoft Corporation
msedge.exe		81,536 K	71,816 K	10752	Microsoft Edge	Microsoft Corporation
msedge.exe		15,024 K	25,584 K	14540	Microsoft Edge	Microsoft Corporation
msedgewebview2.exe		37,300 K	103,908 K	7128		
msedgewebview2.exe		2,196 K	8,560 K	6996		
msedgewebview2.exe		14,744 K	39,788 K	7260		
msedgewebview2.exe		11,564 K	36,692 K	7272		
msedgewebview2.exe		8,516 K	18,256 K	7372		
msedgewebview2.exe		73,804 K	76,660 K	7460		
msedgewebview2.exe		37,168 K	110,808 K	9248		
msedgewebview2.exe		2,156 K	9,104 K	9428		
