Process	PID	Description	Company Name	I/O Read Bytes	I/O Write Bytes	I/O Other Bytes
WmiPrvSE.exe	10768	WMI Provider Host	Microsoft Corporation			2.9  KB
WmiPrvSE.exe	5184	WMI Provider Host	Microsoft Corporation			1.1  KB
WmiApSrv.exe	744	WMI Performance Reverse Adapter	Microsoft Corporation	5.1  KB		1.4  KB
winlogon.exe	732	Windows Logon Application	Microsoft Corporation	250.0  KB	160 B	217.7  KB
wininit.exe	668			36.0  KB		4.2  KB
WidgetService.exe	7836	WidgetService.exe	Microsoft Corporation	12.6  KB	1.6  KB	21.6  KB
Widgets.exe	6656		Microsoft Corporation	2.4  MB	8.3  MB	464.7  KB
VBoxTray.exe	4708	VirtualBox Guest Additions Tray Application	Oracle and/or its affiliates	29.7  KB	5.5  KB	462.5  KB
VBoxService.exe	1772	VirtualBox Guest Additions Service	Oracle and/or its affiliates	5.5  KB	22.0  KB	2.0  MB
UserOOBEBroker.exe	7452	User OOBE Broker	Microsoft Corporation	5.5  KB		2.2  KB
TextInputHost.exe	892		Microsoft Corporation	28.8  KB		97.0  KB
Telegram.exe	6948	Telegram Desktop	Telegram FZ-LLC	18.7  MB	44.9  KB	6.2  MB
taskhostw.exe	3484	Host Process for Windows Tasks	Microsoft Corporation	4.2  MB	6.3  MB	42.1  KB
SystemSettings.exe	8052	Settings	Microsoft Corporation	9.3  MB	26.9  KB	172.5  KB
System Idle Process	0					
System	4			789.6  KB	66.3  MB	377.0  KB
svchost.exe	940	Host Process for Windows Services	Microsoft Corporation	2.0  MB	200.0  KB	393.8  KB
svchost.exe	524	Host Process for Windows Services	Microsoft Corporation	17.0  KB		296.2  KB
svchost.exe	564	Host Process for Windows Services	Microsoft Corporation			664 B
svchost.exe	1116	Host Process for Windows Services	Microsoft Corporation			2.4  KB
svchost.exe	1132	Host Process for Windows Services	Microsoft Corporation			364 B
svchost.exe	1140	Host Process for Windows Services	Microsoft Corporation			172 B
svchost.exe	1220	Host Process for Windows Services	Microsoft Corporation	6 B	5.0  MB	171.0  KB
svchost.exe	1236	Host Process for Windows Services	Microsoft Corporation			460 B
svchost.exe	1284	Host Process for Windows Services	Microsoft Corporation	2.6  MB		39.3  KB
svchost.exe	1296	Host Process for Windows Services	Microsoft Corporation			73.9  KB
svchost.exe	1428	Host Process for Windows Services	Microsoft Corporation	116 B	160 B	450.2  KB
svchost.exe	1444	Host Process for Windows Services	Microsoft Corporation			2.8  KB
svchost.exe	1496	Host Process for Windows Services	Microsoft Corporation			460 B
svchost.exe	1744	Host Process for Windows Services	Microsoft Corporation	824 B		1.0  MB
svchost.exe	1828	Host Process for Windows Services	Microsoft Corporation	62.7  MB	8.3  MB	3.3  KB
svchost.exe	1968	Host Process for Windows Services	Microsoft Corporation	58.0  MB	10.8  MB	18.9  MB
svchost.exe	1980	Host Process for Windows Services	Microsoft Corporation	754 B		580 B
svchost.exe	1992	Host Process for Windows Services	Microsoft Corporation			9.4  KB
svchost.exe	2000	Host Process for Windows Services	Microsoft Corporation			172 B
svchost.exe	2072	Host Process for Windows Services	Microsoft Corporation	764 B		780 B
svchost.exe	2132	Host Process for Windows Services	Microsoft Corporation			445.3  KB
svchost.exe	2160	Host Process for Windows Services	Microsoft Corporation			9.0  KB
svchost.exe	2176	Host Process for Windows Services	Microsoft Corporation			97.3  KB
svchost.exe	2292	Host Process for Windows Services	Microsoft Corporation			13.9  KB
svchost.exe	2332	Host Process for Windows Services	Microsoft Corporation			2.4  KB
svchost.exe	2412	Host Process for Windows Services	Microsoft Corporation	68.4  MB	10.7  MB	3.4  KB
svchost.exe	2424	Host Process for Windows Services	Microsoft Corporation			37.3  KB
svchost.exe	2436	Host Process for Windows Services	Microsoft Corporation			32.6  KB
svchost.exe	2576	Host Process for Windows Services	Microsoft Corporation	1.5  MB		243.6  KB
svchost.exe	2768	Host Process for Windows Services	Microsoft Corporation	116 B	32.2  KB	276.8  KB
svchost.exe	2852	Host Process for Windows Services	Microsoft Corporation	7.5  KB	9.3  KB	2.4  KB
svchost.exe	2988	Host Process for Windows Services	Microsoft Corporation	928.2  KB	15.9  KB	174.1  KB
svchost.exe	3000	Host Process for Windows Services	Microsoft Corporation	21.2  MB	7.1  MB	2.7  MB
svchost.exe	3012	Host Process for Windows Services	Microsoft Corporation	31.2  MB	15.0  MB	950.3  KB
svchost.exe	708	Host Process for Windows Services	Microsoft Corporation	116 B	160 B	9.6  KB
svchost.exe	3076	Host Process for Windows Services	Microsoft Corporation	22.0  KB		2.2  KB
svchost.exe	3108	Host Process for Windows Services	Microsoft Corporation	97.2  MB	504.2  KB	100.1  KB
svchost.exe	3148	Host Process for Windows Services	Microsoft Corporation	2.6  MB	12.5  MB	17.1  KB
svchost.exe	3216	Host Process for Windows Services	Microsoft Corporation			268 B
svchost.exe	3280	Host Process for Windows Services	Microsoft Corporation	26.7  KB	41.9  KB	5.9  KB
svchost.exe	4608	Host Process for Windows Services	Microsoft Corporation			2.7  KB
svchost.exe	3172	Host Process for Windows Services	Microsoft Corporation	354.2  KB	18.2  KB	51.4  KB
svchost.exe	3568	Host Process for Windows Services	Microsoft Corporation	107.2  KB		1.3  MB
svchost.exe	4428	Host Process for Windows Services	Microsoft Corporation	36.2  KB	36.2  KB	16.2  KB
svchost.exe	4572	Host Process for Windows Services	Microsoft Corporation	1.2  MB	200.9  KB	211.4  KB
svchost.exe	3700	Host Process for Windows Services	Microsoft Corporation			172 B
svchost.exe	3668	Host Process for Windows Services	Microsoft Corporation	84.2  MB	2.3  GB	87.2  KB
svchost.exe	4884	Host Process for Windows Services	Microsoft Corporation	80.5  KB	44.0  KB	55.8  KB
svchost.exe	1736	Host Process for Windows Services	Microsoft Corporation	28.3  KB	41.1  KB	33.2  KB
svchost.exe	5516	Host Process for Windows Services	Microsoft Corporation			8.7  KB
svchost.exe	5932	Host Process for Windows Services	Microsoft Corporation			5.6  KB
svchost.exe	5000	Host Process for Windows Services	Microsoft Corporation	189.4  KB	92 B	28.3  KB
svchost.exe	6500	Host Process for Windows Services	Microsoft Corporation	52.7  KB		9.7  KB
svchost.exe	8256	Host Process for Windows Services	Microsoft Corporation	10.7  KB		4.8  KB
svchost.exe	8964	Host Process for Windows Services	Microsoft Corporation	4.0  MB	8.3  KB	297.2  KB
svchost.exe	3504	Host Process for Windows Services	Microsoft Corporation	14.5  KB		4.5  KB
svchost.exe	8380			414.6  KB	11.4  MB	17.4  MB
svchost.exe	7644	Host Process for Windows Services	Microsoft Corporation	23.1  MB	5.6  MB	52.4  KB
svchost.exe	4940	Host Process for Windows Services	Microsoft Corporation	67.4  KB		59.2  KB
svchost.exe	10328	Host Process for Windows Services	Microsoft Corporation	71.6  KB	128.0  KB	43.3  KB
svchost.exe	10404	Host Process for Windows Services	Microsoft Corporation	7.2  KB	160 B	2.7  KB
svchost.exe	10444	Host Process for Windows Services	Microsoft Corporation	119.9  KB		22.6  KB
svchost.exe	10504			8.7  KB		1.9  KB
svchost.exe	5996	Host Process for Windows Services	Microsoft Corporation	5.4  KB		2.4  KB
svchost.exe	2196	Host Process for Windows Services	Microsoft Corporation	9.5  KB	320 B	23.1  KB
svchost.exe	10412	Host Process for Windows Services	Microsoft Corporation	4.6  KB		54.3  KB
svchost.exe	6904	Host Process for Windows Services	Microsoft Corporation	6.9  KB		6.9  KB
svchost.exe	9860			234.4  KB		6.9  KB
svchost.exe	3752	Host Process for Windows Services	Microsoft Corporation	116 B	160 B	2.3  KB
svchost.exe	6732	Host Process for Windows Services	Microsoft Corporation			2.0  KB
StartMenuExperienceHost.exe	6292	Windows Start Experience Host	Microsoft Corporation	5.0  MB	96.9  KB	175.8  KB
spoolsv.exe	2744	Spooler SubSystem App	Microsoft Corporation	232 B	320 B	90.8  KB
snmp.exe	3096	SNMP Service	Microsoft Corporation	320.3  KB		354.8  KB
smss.exe	436			2.7  MB	29.8  KB	45.4  KB
sihost.exe	4688	Shell Infrastructure Host	Microsoft Corporation	159.0  KB		775.1  KB
ShellHost.exe	2672	ShellHost	Microsoft Corporation	512 B		3.8  KB
ShellExperienceHost.exe	4780	Windows Shell Experience Host	Microsoft Corporation	658.2  KB		42.8  KB
services.exe	808			361.1  KB	24.2  KB	165.1  KB
SecurityHealthSystray.exe	5872	Windows Security notification icon	Microsoft Corporation	7.5  KB		2.9  KB
SecurityHealthService.exe	8064			2.1  MB	101.8  KB	2.3  MB
SearchIndexer.exe	6000	Microsoft Windows Search Indexer	Microsoft Corporation	179.6  MB	1.9  MB	4.7  MB
SearchHost.exe	6320		Microsoft Corporation	5.6  MB	833.8  KB	928.9  KB
SDXHelper.exe	5756	Microsoft Office SDX Helper	Microsoft Corporation	613.0  KB	4.1  KB	519.5  KB
RuntimeBroker.exe	6424	Runtime Broker	Microsoft Corporation	322.2  KB	160 B	103.3  KB
RuntimeBroker.exe	1592	Runtime Broker	Microsoft Corporation	6.5  KB		3.0  KB
RuntimeBroker.exe	6196	Runtime Broker	Microsoft Corporation	100.7  KB		38.3  KB
RuntimeBroker.exe	9468	Runtime Broker	Microsoft Corporation	20.2  KB		2.8  KB
RuntimeBroker.exe	3488	Runtime Broker	Microsoft Corporation			2.0  KB
RuntimeBroker.exe	5700	Runtime Broker	Microsoft Corporation	6.5  KB		1.5  KB
RuntimeBroker.exe	10676	Runtime Broker	Microsoft Corporation	11.2  KB		8.4  KB
Registry	104			3.8  MB	69.7  MB	3.3  KB
procexp64.exe	4880	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com	327.1  MB	37.2  KB	2.8  MB
PhoneExperienceHost.exe	8652	Microsoft Phone Link	Microsoft Corporation	705.6  KB		140.3  KB
OfficeClickToRun.exe	2236	Microsoft Office Click-to-Run (SxS)	Microsoft Corporation	5.8  MB	200.8  KB	790.0  KB
NisSrv.exe	4168			6.6  KB		51.5  KB
MsMpEng.exe	3232			439.3  MB	308.4  MB	90.5  MB
msedgewebview2.exe	7128	Microsoft Edge WebView2	Microsoft Corporation	27.7  MB	11.1  MB	329.1  KB
msedgewebview2.exe	6996	Microsoft Edge WebView2	Microsoft Corporation	5.9  KB	72 B	3.1  KB
msedgewebview2.exe	7260	Microsoft Edge WebView2	Microsoft Corporation	386.5  KB	156.0  KB	23.9  KB
msedgewebview2.exe	7272	Microsoft Edge WebView2	Microsoft Corporation	1.8  MB	1.0  MB	36.4  KB
msedgewebview2.exe	7372	Microsoft Edge WebView2	Microsoft Corporation	872.0  KB	1.4  MB	8.5  KB
msedgewebview2.exe	7460	Microsoft Edge WebView2	Microsoft Corporation	3.2  MB	4.8  MB	11.6  KB
msedgewebview2.exe	9248	Microsoft Edge WebView2	Microsoft Corporation	17.3  MB	2.9  MB	444.1  KB
msedgewebview2.exe	9428	Microsoft Edge WebView2	Microsoft Corporation	6.8  KB	84 B	3.0  KB
msedgewebview2.exe	9968	Microsoft Edge WebView2	Microsoft Corporation	863.5  KB	318.5  KB	22.7  KB
msedgewebview2.exe	7980	Microsoft Edge WebView2	Microsoft Corporation	2.1  MB	18.2  MB	102.3  KB
msedgewebview2.exe	912	Microsoft Edge WebView2	Microsoft Corporation	7.7  MB	11.4  MB	8.4  KB
msedgewebview2.exe	9564	Microsoft Edge WebView2	Microsoft Corporation	16.5  MB	9.7  MB	11.5  KB
msedgewebview2.exe	2516	Microsoft Edge WebView2	Microsoft Corporation	8.7  KB	22.7  KB	12.7  KB
msedge.exe	6572	Microsoft Edge	Microsoft Corporation	28.2  MB	8.6  MB	995.6  KB
msedge.exe	4292	Microsoft Edge	Microsoft Corporation	7.3  KB	216 B	2.5  KB
msedge.exe	3588	Microsoft Edge	Microsoft Corporation	3.6  MB	1.8  MB	50.2  KB
msedge.exe	8644	Microsoft Edge	Microsoft Corporation	34.5  KB	71.7  KB	24.4  KB
msedge.exe	2372	Microsoft Edge	Microsoft Corporation	148.1  KB	54.4  KB	9.0  KB
msedge.exe	11096	Microsoft Edge	Microsoft Corporation	1.7  MB	4.5  MB	12.4  KB
msedge.exe	7668	Microsoft Edge	Microsoft Corporation	73.7  KB	13.6  KB	11.9  KB
