Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"4.195.183.33",8,456,4,240,4,216,"","","","","",""
"20.4.130.154",42,12811,24,9811,18,3000,"","","","","",""
"20.189.173.5",27,10493,15,7931,12,2562,"","","","","",""
"51.195.237.146",21,1583,12,1061,9,522,"","","","","",""
"52.182.143.214",38,18703,24,6214,14,12489,"","","","","",""
"52.191.219.104",25,6409,14,5111,11,1298,"","","","","",""
"135.125.224.84",46,4209,27,3063,19,1146,"","","","","",""
"135.233.95.80",39,20924,25,16293,14,4631,"","","","","",""
"149.210.234.234",70,31104,42,28815,28,2289,"","","","","",""
"150.171.22.17",29,11270,18,8124,11,3146,"","","","","",""
"172.172.255.216",7,779,4,574,3,205,"","","","","",""
"192.168.147.1",14,9772,14,9772,0,0,"","","","","",""
"192.168.147.2",25,3125,8,1460,17,1665,"","","","","",""
"192.168.147.134",377,121866,160,33169,217,88697,"","","","","",""
"239.255.255.250",14,9772,0,0,14,9772,"","","","","",""
